#{"t_start": 1738749049.8012466, "env_id": "None"}
r,l,t
1307.84764,7,123.27512
1274.087477,7,123.436664
1302.290217,7,123.657308
1295.404463,7,123.829856
1309.134247,7,123.995349
1369.949987,7,124.118166
1293.930749,7,124.350152
1311.274397,7,124.477668
1302.093074,7,124.645745
1296.619108,7,124.826278
1287.269565,7,124.943983
1318.589445,7,125.056517
1300.319119,7,125.166118
1315.400281,7,125.280644
1300.988623,7,125.394171
1304.64022,7,125.514698
1292.833489,7,125.66375
1301.385546,7,125.796269
1338.617616,7,125.971608
1338.783954,7,126.169643
1333.850601,7,126.365104
1291.118825,7,126.57036
1321.519772,7,126.710884
1341.201069,7,126.869314
1352.413979,7,127.005872
1339.145258,7,127.153458
1300.550064,7,128.010133
1290.186855,7,128.168619
1335.787431,7,128.326362
1265.558344,7,128.482421
1288.330339,7,128.643687
1286.604711,7,128.763301
1293.768591,7,128.907814
1385.55523,7,129.028365
1306.338029,7,129.162827
1315.529755,7,129.278751
1330.009697,7,129.475449
1315.573862,7,129.73331
1336.094334,7,129.924716
1320.241402,7,130.069776
1300.281707,7,130.241123
1343.553799,7,130.386824
1351.600958,7,130.528409
1323.986873,7,130.691911
1296.778425,7,130.841421
1286.817296,7,131.022224
1308.229324,7,131.168891
1286.638312,7,131.311458
1305.501735,7,131.476632
1292.468558,7,131.933609
1318.311087,7,132.068792
1287.311411,7,132.265842
1272.64545,7,132.402376
1315.186948,7,132.523136
1325.522087,7,132.663182
1324.982952,7,132.814702
1296.396924,7,132.952377
1326.965909,7,133.117069
1318.460606,7,133.258668
1302.366566,7,133.390242
1353.537613,7,133.513896
1351.136517,7,133.646555
1358.657791,7,133.784028
1326.756512,7,133.90109
1311.832492,7,134.015632
1327.784927,7,134.130741
1317.442025,7,134.245393
1315.445884,7,134.375455
1345.196201,7,134.518
1393.024574,7,134.661068
1313.13451,7,134.79463
1301.377757,7,134.930577
1329.839766,7,135.047155
1320.288205,7,135.16183
1310.421574,7,135.292597
1283.103024,7,135.419111
1283.098316,7,135.533657
1343.764779,7,135.661753
1327.391414,7,135.811278
1316.486938,7,135.956473
1316.533558,7,136.121972
1284.360222,7,136.263515
1312.714577,7,136.403063
1318.061091,7,136.52091
1327.263761,7,136.663908
1291.804173,7,136.817286
1295.654127,7,136.968037
1330.635443,7,137.112107
1318.770095,7,137.232635
1327.628198,7,137.345214
1358.083377,7,137.503274
1369.22244,7,137.698947
1298.903323,7,137.832214
1313.561775,7,137.988533
1316.71429,7,138.128199
1347.364799,7,138.260708
1282.956456,7,138.382285
1307.171906,7,138.523807
1298.952284,7,138.693244
1310.283502,7,138.850784
1324.726798,7,139.036545
